placa;modelo;linea;motor;cilindraje;marca_id;created_at;updated_at;cantidad_aceite_motor;marca_aceite;tipo_aceite;filtro_aceite;filtro_aire;cantidad_aceite_cc;marca_cc;tipo_aceite_cc;filtro_aceite_cc;filtro_de_enfriador;tipo_caja;cantidad_aceite_diferencial;marca_aceite_d;tipo_aceite_d;cant_aceite_transfer;marca_aceite_t;tipo_aceite_t;filtro_cabina;filtro_diesel;contra_filtro_diesel;candelas;pastillas_delanteras;pastillas_traseras;fajas;aceite_hidraulico
C743BHL;XX;CAMIONCITO;XX;4;25;X;X;6LTOS.;MOTULBARRIL;15W40;LFP805;PABS107;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;FP570F;X;X;X;X;X;X
P603GCG;2008;CAMIONETA;2.3;4;29;X;X;5LTOS.;CASTROLMAG.;20W50;PCB9641;LF50-13Z40;XX;MULTIVEHICULO;X;X;X;X;XX;X;X;5LTOS.;FT1210;XX;X;XX;X;X;X;X;X;X
P035JQJ;2021;XX;X;X;5;X;X;6LITROS;MOTUL;5W40;SH40X20136;X;X;X;X;X;X;X;X;X;X;X;X;CF7803A005;X;X;X;X;X;X;X;X
P171JXH;CS55230T;XX;X;X;5;X;X;1GARRAFA;QUAKERFULL;5W30;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P973JRM;2022;EPOWER;1.2;XX;5;X;X;1GARRAFA;QUAKERFULL;5W20;PH2840;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P880KRS;X;EPOWER;X;X;5;X;X;1GARRAFA;MAGNATEC;10W30;PH2840;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P679LDR;2026;TIGGO4PRO;1.5;XX;6;X;X;1GARRAFA;QUAKERFULLS.;5W30;PH2835;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P557KLD;2002;ASTRO;V6;XX;7;X;X;4.5LITROS;CASTROLGTX;20W50;PH47;XX;X;X;X;X;X;X;XX;X;X;X;XX;XX;X;XX;X;X;X;X;X;X
P634DYY;XX;AVEO;XX;XX;7;X;X;1GALON;SHELLHELIX;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P014DNC;XX;AVEO;XX;XX;7;X;X;1GARRAFA;QUAKERFULL;10W30;PH47;CA9902;XX;X;X;X;X;X;XX;X;X;X;X;X;X;XX;X;X;X;X;X;X
P402DZD;2011;AVEOLS;XX;XX;7;X;X;4LITROS;MAXLIFEBARRIL;10W30;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P876CZF;XX;CMV;XX;XX;7;X;X;3.5LITROS;GTXBARRIL;20W50;PH2840;XX;XX;XX;X;X;X;X;XX;X;X;XX;XXX;XX;X;XX;X;X;X;X;X;X
P069JQR;2022;COLORADO;XX;XX;7;X;X;6LITROS;VALVOLINESINT;5W40;WIX10089;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;K1241A;X;XX;X;X;X;X;X;X
P082KCZ;2018;COLORADO;3.6;XX;7;X;X;7LITROS;QUAKER;5W30;CH10246;XX;XX;XX;X;X;X;X;XX;X;X;XX;X;XX;X;XX;X;X;X;X;X;X
P178FKF;2005;COLORADO;XX;XX;7;X;X;6LITROS;MOTULBARRIL;10W30;PH59;CA9778;X;X;X;X;X;X;XX;X;X;X;XX;X;X;XX;X;X;X;X;X;X
P189KYH;X;COLORADO;X;X;7;X;X;6LITROS;QUAKER;5W30FULL;WIXWL10351;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P468JBQ;2016;CRUCELT;1.4;XX;7;X;X;4.5LITROS;MAXLIFE;10W30;CH10246OE648-6;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P997DQK;2006;EQUINOX;3.4;V6;7;X;X;5LITROS;MOTUL;10W30BARRIL;PH47;PAB9492;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P347HVY;2015;EQUINOX;2.5;X;7;X;X;1GARRAFA;CASTROLMAG;10W30;OE648/3CH9018;CA10465;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P464KLX;2018;MALIBU;XX;X;7;X;X;1GARRAFA;QUAKERFULL;5W20;WIX10290;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P776KND;XX;N400;XX;XX;7;X;X;1GARRAFA;QUAKERFULL;5W30;PLBS060;XX;XX;X;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P679KXX;X;N400;X;X;7;X;X;1GARRAFA;QUAKERFULL;5W30;PLBS060;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P899FCY;2001;SILVERADO;5.3;V-8;7;X;X;6LITROS;QUAKER;20W50;PH59;XX;XX;CASTROLATF;X;X;X;X;X;X;X;1GALON;XX;XX;X;XX;X;X;X;X;X;X
P575KSF;2023;SILVERADO;2.7;XX;7;X;X;7LITROS;QUAKERFULL;5W30;WIX10351;XX;X;X;X;X;X;X;XX;X;X;X;X;XX;X;X;X;X;X;X;X;X
P649GWS;2006;SILVERADO;5.3;V8;7;X;X;6LITROS;MAXLIFE;10W30BARRIL;PH44;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P497HXY;2013;SPARK;XX;XX;7;X;X;1GARRAFA;QUAKERFULL;5W20;PLBS060;CA11469;XX;VERSCVTPLUS;X;X;X;X;XX;X;X;1GALON;FT88304;CF10775;X;XX;X;X;X;X;X;X
P920JCP;2014;SPARK;XX;XX;7;X;X;1GARRAFA;MAGNATEC;10W30;PLBS060;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P717KQK;2013;SPARK;XX;XX;7;X;X;4LITROSBARRIL;MAXLIFE;10W30;PLBS060;CA11469;XX;X;X;X;X;X;XX;X;X;XX;XX;CF10775;X;XX;X;X;X;X;X;X
P531KPP;2012;SPARK;XX;XX;7;X;X;4LITROS;MAXLIFE;10W30;PLBS060;PABS2203;XX;X;X;X;X;X;XX;X;X;X;X;XX;X;XX;X;X;X;X;X;X
P255JCX;2014;SPARK;1.2;X;7;X;X;3.5LITROS;MAXLIFEBARRIL;10W30;PLBS060;CA11469;XX;VERSCVTPLUS;X;X;X;X;XX;X;X;5LITROS;31728-3JX0A;10775;X;XX;X;X;X;X;X;X
P886GYK;X;SPARK;X;X;7;X;X;1GARRAFA;MAXLIFE;20W50;PH47;CA11469;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P791JGX;X;SPARK;X;X;7;X;X;X;X;X;X;X;X;MAXLIFEATF;X;X;X;X;X;X;X;4LITROS;FT88304;X;X;X;X;X;X;X;X;X
P659JTK;XX;TAHOE;XX;XX;7;X;X;6LITROS;MAXLIFE;20W50;PH48;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P920GSF;2017DIESEL;TRAILBLAZER;XX;XX;7;X;X;6LTOS.SELLADO;CASTROLVECTON;15W40;WIX10089;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;K1241;X;XX;X;X;X;X;X;X
P035HCT;XX;TRAX;XX;X;7;X;X;5LITROS;KENDALLFULL;5W30;CH10246;XX;XX;CASTROLATF;X;X;X;X;XX;X;X;4GALONES;XX;XX;X;XX;X;X;X;X;X;X
P750JKN;XX;TRAX;XX;X;7;X;X;1GARRAFA;MAXLIFE;5W30;CH10246;CA11501;X;XX;X;X;X;X;XX;X;X;X;X;CF10775;X;XX;X;X;X;X;X;X
HAE1303;2020;TRAX;X;X;7;X;X;4.5LITROS;MOTUL;10W30BARRIL;CH10246;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P370KKG;X;TRAX;X;X;7;X;X;1GARRAFA;MAGNATEC;10W30;CH10246;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P347DZX;XX;AVEO;XX;XX;7;X;X;4LITROS;GTXBARRIL;20W50;PH47;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P855DMM;2005;AVEO;1.6;4;7;X;X;X;X;X;PH47;X;75W90GL5;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P711DDP;XX;AVEO;XX;XX;7;X;X;1GL.;VALV.MAXLIFE;20W50;PH2835;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P038GQR;2009;AVEO;1.6;4;7;X;X;5.5LTOS.;CASTROLGTX;20W50;CH10246;PAB9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P872DQB;2007;AVEO;XX;XX;7;X;X;1GL.(5);CASTROL;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P469GMJ;XX;AVEO;XX;4;7;X;X;41/4Ltos.BARRIL;CASTROLGTX;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P546GHN;XX;AVEO;XX;4;7;X;X;1GL.;VALV.MAXLIFE;10W30;PH47;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P658DMB;XX;AVEO;XX;4;7;X;X;4.5LTOS.BARRIL;VALV.MAXLIFE;10W30;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P357FHD;2004;AVEO;1.6;4;7;X;X;4LTOS.BARRIL;CASTROLGTX;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P454DSZ;2005;AVEO;1.6;XX;7;X;X;4LTOS.BARRIL;CASTROLGTX;20W50;PH47;CA9902;XX;CASTROLATFM.;X;X;X;X;XX;X;X;4LTOS.;FT41509;XX;X;XX;X;X;X;X;X;X
P977GCH;X;AVEO;X;X;7;X;X;1GALON;CASTROLGTX;20W50;PH47;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P876GSJ;2008;AVEOLS;XX;XX;7;X;X;4LITROS;GTXBARRIL;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P998HRZ;2020;BEAT;1.2;4;7;X;X;1GL.;QUAKERFULL;5W30;PLB11462;PABS2203;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P240BFF;1999;BLAZER;4.3;6;7;X;X;5LTOS.;QUAKER;20W50;PH51A;CA7421;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P350FQK;XX;BLAZER;XX;XX;7;X;X;7LTOS.;CASTROLGTX;20W50;PH59;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P497JFH;2006;COLORADO;3;V-5;7;X;X;6LTOS.;VALV.MAXLIFE;10W30;PH59;CA9778;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P131KJT;2017;COLORADO;3.6;V-6;7;X;X;7LTOS.;QUAKERSINT.;5W30;CH10246/0E648-6;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P199FTY;2012;CRUZE;XX;XX;7;X;X;1GL;MAXLIFE;10W30;CH10246;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P179HMT;2011;EQUINOX;2.4;4;7;X;X;1GL.(5);VALVOLINE;20W50;OE648/3;CA10465nohay;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P743HSF;2006;EQUINOX;3.4;V-6;7;X;X;5LTOS.;MOTUL;20W50;PH47;CA9492;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;5LTOS.APROX.;XX;XX;X;XX;X;X;X;X;X;X
P361JFR;2010;EQUINOX;2.4;4;7;X;X;1GARRAFA;EUROL;20W50;CH9018;CA10465;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;5LTOS.;XX;XX;X;XX;X;X;X;X;X;X
P563JGZ;2012;EQUINOX;2.4;XX;7;X;X;1GARRAFA;VALV.FULLSINT.;5W30;CH9018;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P055JBK;2011;EQUINOX;2.4;4;7;X;X;1GARRAFA;MAXLIFE;10W30;OE648/3;XX;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;XX;XX;X;XX;X;X;X;X;X;X
P755JVT;2022;N400MAX;1.2;4;7;X;X;5LTOS.;KENDALLSINT.;5W30;PLBS060/OP564/1;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P035DFZ;2007;OPTRA;XX;4;7;X;X;1GL.(4);MAGNATEC;10W30;PH47;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P302JJF;2004;SILVERADO;6;V-8;7;X;X;6LTOS.BARRIL;VALV.MAXLIFE;10W30;PH44;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P046FWZ;2013;SONIC;XX;4;7;X;X;1GL.;QUAKERFULL;10W30;CH10246;96950990;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;4LTOS.APROX.;XX;CF10372;X;XX;X;X;X;X;X;X
P406FSP;2014;SPARK;1.8;4;7;X;X;4LTOS.;QUAKERSEMISYN;5W20;PLBS060;PABS2203;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P855FNW;2013;SPARK;XX;XX;7;X;X;1GL.;QUAKERFULLSYN;5W20;PLBS060;PABS2203;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P019GYW;2013;SPARK;XX;XX;7;X;X;1GL.;VALL.MAXLIFE;5W20;PLBS060;96910360;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P415HGF;2014;SPARK;XX;4;7;X;X;1GL.;VALV.MAXLIFE;5W20;PLBS060;PAB11469;XX;KENDALLCVTP.;X;X;X;X;XX;X;X;5LTOS.;XX;XX;X;XX;X;X;X;X;X;X
P111FCV;XX;SPARK;XX;4;7;X;X;1GL.;VALV.MAXLIFE;5W30;PLBS060;PABS2203;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P635HDR;2014;SPARK;XX;XX;7;X;X;1GL.;VALV.MAXLIFE;10W30;PLBS060;CA11469;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P644GDP;2014;SPARK;XX;4;7;X;X;1GL.;VALV.MAXLIFE;5W20;PLBS060;CA11469;XX;KENDALLCVTPLU;X;X;X;X;XX;X;X;4LTOS.;3JXOA;XX;X;XX;X;X;X;X;X;X
P741JBJ;XX;SPARK;XX;4;7;X;X;1GL.;QUAKERFULL;0W20;WIX10290;95238310;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P787DQT;2008AGENCIA;SPARK;XX;XX;7;X;X;1GARRAFA;KENDALLSEMIS.;20W50;PH2840;PABS023;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P450JWF;2017;SPARK;1.4;XX;7;X;X;1GARRAFA;QUAKERFULL;10W30;WIX10290;95238310;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P536FRR;2013;SPARK;1;XX;7;X;X;1GL;MAXLIFE;10W30;PH2840;PABS023;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P419JFH;2013;SPARK;XX;XX;7;X;X;XX;XX;XX;XX;XX;XX;KEND.CVT-PLUS;X;X;X;X;XX;X;X;4GALONES;FT88304;XX;X;XX;X;X;X;X;X;X
P997HSS;2016;SPARK;XX;XX;7;X;X;1GARRAFA;MAXLIFE;5W30;WIXWL10290;95238310;XX;KENDALLCVT-PLU;X;X;X;X;XX;X;X;5LITROS;FT41509;CF10775;X;XX;X;X;X;X;X;X
P211GXW;2014;SPARK;XX;XX;7;X;X;1GARRAFA;VALV.MAXLIFE;5W30;PLBS060;CA11469;XX;KEND.CVT-PLUS;X;X;X;X;XX;X;X;4LITROS.;31728-3JX0A;XX;X;XX;X;X;X;X;X;X
P559FRQ;XX;SPARKGT;XX;XX;7;X;X;1GL.;MAXLIFE;10W30;PLBS060;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P375FJJ;2012;SPARKLITE;1.2;4;7;X;X;1GL.(4);CASTROLMAG.;10W30;PH2840;PABS023;VAL75W90FULL;XX;X;X;X;X;XX;X;X;XX;XX;CF8225700K;X;XX;X;X;X;X;X;X
P534JXN;XX;SUBURBAN;XX;XX;7;X;X;8LITROS;VALVOLINEFULL;5W20;WIX57502;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P038CFQ;2000;TRAKER;2;X;7;X;X;1GL.;QUAKER;20W50;PH2835;13780-77E00;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P712JBJ;2016;TRAX;2.4;4;7;X;X;1GL;QUAKERFULL;5W30;PCB10246;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P702JQR;2017;TRAX;XX;XX;7;X;X;1GARRAFA;CASTROLMAG.;10W30;CH10246/W57674;CA11501;XX;KVERSACVTPLUS;X;X;X;X;XX;X;X;5LITROS;XX;XX;X;XX;X;X;X;X;X;X
P776GWK;2013;CRUZELT;XX;4;7;X;X;1GL.;VALV.MAXLIFE;10W30;CH10246;XX;XX;ATFVALV.MAXL.;X;X;X;X;XX;X;X;5LTOS.;XX;XX;X;XX;X;X;X;X;X;X
P545GHP;2005;R.COLORADO;3.5;4;7;X;X;6LTOS.;VALV.MAXLIFE;5W30;PH59;PAB9778;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;5LTOS.;FT1230;XX;X;XX;X;X;X;X;X;X
P033JCX;XX;R.EQUINOX;XX;XX;7;X;X;1GARRAFA;MAXLIFE;20W50;OE648/3;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P434CPC;2007;R.SPARK;1;3;7;X;X;1GL.;KENDALL;20W50;PH2840;PABS023;X;X;X;X;X;X;X;X;X;X;X;CF8225700K;X;X;X;X;X;X;X;X
P885FNW;2013;R.SPARK;XX;XX;7;X;X;1GL.;QUAKERFULLSYN;5W20;PLBS060;PABS2203;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P055BVK;2003;RO.ASTRA;2.2;4;7;X;X;1GL.(5);VALV.MAXLIFE;10W30;WIX57082;PAB8817;SOLOAGENCIA;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P268DCR;XX;ROLET;XX;4;7;X;X;1GL.;QUAKER;20W50;PH47;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P092DXB;XX;ROLET;XX;4;7;X;X;1GL.;QUAKER;20W50;PH47;CA9902;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P096FQP;2004;ROLET;X;X;7;X;X;1GARRAFA;MAGNATEC;10W30;PH47;CA9902;X;X;X;X;X;X;X;X;X;X;X;CF10546;X;X;X;X;X;X;X;X
P064FQF;2004;ROLETAVEO;1.6;4;7;X;X;1GL.;QUAKER;20W50;PH47;CA9902;X;DEXRONVI;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P132FDP;2007;ROLETAVEO;1.6;4;7;X;X;1GL.y1LTO.;CASTROLMAG.;10W30;PH47;CA9902;X;DEXRONVI;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P252DRT;2004;ROLETAVEO;1.6;4;7;X;X;1GL.;SHELLHELIX;20W50;PH47;PAB9902;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P331BBK;2006;ROLETAVEO;1.2;4;7;X;X;1GL.;QUAKER;20W50;PH2840;PAB9902;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P039GCJ;2010;ROLETAVEO;1.6;4;7;X;X;5LTOS.Y1/2;CASTROLGTX;20W50;FF-0E648-6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
